[[ 0.  0.  0.]
 [ 0.  2.  0.]]
         157320 function calls (155583 primitive calls) in 5.653 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:795(_set_atoms_property)
        1    0.000    0.000    0.006    0.006 clock.py:139(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
       31    0.000    0.000    0.000    0.000 _inspect.py:159(formatargspec)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
      686    0.000    0.000    0.000    0.000 zipfile.py:904(getinfo)
        1    0.000    0.000    0.006    0.006 xinerama.py:7(<module>)
        7    0.000    0.000    0.039    0.006 lib.py:104(load_library)
       57    0.000    0.000    0.009    0.000 sre_compile.py:478(_code)
        1    0.000    0.000    0.017    0.017 lib.py:36(<module>)
        1    0.000    0.000    0.000    0.000 runner.py:1(<module>)
      686    0.000    0.000    0.000    0.000 zipfile.py:383(_decodeExtra)
      115    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
      111    0.000    0.000    0.000    0.000 threading.py:569(isSet)
      233    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:10(<module>)
       57    0.000    0.000    0.000    0.000 {_sre.compile}
      686    0.000    0.000    0.000    0.000 zipfile.py:377(_decodeFilename)
        1    0.000    0.000    0.003    0.003 polynomial.py:4(<module>)
      692    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      100    0.000    0.000    0.000    0.000 __init__.py:758(draw_mouse_cursor)
        2    0.000    0.000    0.033    0.016 __init__.py:416(__init__)
       59    0.000    0.000    0.000    0.000 lib_glx.py:85(link_GLU)
        1    0.000    0.000    0.000    0.000 main.py:1(<module>)
        3    0.000    0.000    0.000    0.000 numeric.py:346(extend_all)
       77    0.000    0.000    0.000    0.000 {posix.lstat}
      234    0.000    0.000    0.000    0.000 pkg_resources.py:530(__iter__)
        1    0.000    0.000    0.000    0.000 xlib.py:36(<module>)
        1    0.000    0.000    0.000    0.000 case.py:98(_AssertRaisesContext)
